"Name","Live Bytes","Live Objects"
"java.net.Inet4Address","27,744 B (0%)","1,156 (0%)"
"io.micrometer.core.instrument.Meter$Id","27,600 B (0%)","690 (0%)"
"java.lang.reflect.Constructor[]","27,504 B (0%)","1,149 (0%)"
"org.apache.kafka.common.protocol.types.BoundField[]","27,368 B (0%)","834 (0%)"
"java.util.LinkedHashMap$LinkedEntryIterator","27,200 B (0%)","850 (0%)"
"java.lang.invoke.MethodHandle[]","27,024 B (0%)","133 (0%)"
"java.util.Optional","26,976 B (0%)","1,686 (0%)"
"java.lang.module.ModuleDescriptor$Exports","26,808 B (0%)","1,117 (0%)"
"java.lang.invoke.LambdaForm$NamedFunction","26,736 B (0%)","1,114 (0%)"
"org.apache.kafka.common.protocol.types.Schema","26,688 B (0%)","834 (0%)"
"io.netty.util.concurrent.FastThreadLocalThread","26,496 B (0%)","207 (0%)"
"jdk.internal.reflect.MethodHandleObjectFieldAccessorImpl","26,368 B (0%)","824 (0%)"
"java.util.Collections$UnmodifiableCollection$1","26,184 B (0%)","1,091 (0%)"
"org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition","26,096 B (0%)","233 (0%)"
"sun.nio.fs.UnixPath","25,824 B (0%)","807 (0%)"
"org.springframework.boot.web.server.MimeMappings$Mapping","25,200 B (0%)","1,050 (0%)"
"jdk.internal.reflect.DirectMethodHandleAccessor","25,120 B (0%)","785 (0%)"
"sun.reflect.generics.tree.ClassSignature","25,008 B (0%)","1,042 (0%)"
"jdk.internal.ref.Cleaner","24,920 B (0%)","623 (0%)"
"java.lang.reflect.TypeVariable[]","24,888 B (0%)","1,032 (0%)"
"io.netty.buffer.PoolThreadCache$MemoryRegionCache[]","24,800 B (0%)","248 (0%)"
"sun.nio.fs.UnixFileAttributes","24,616 B (0%)","181 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionOutcome","24,600 B (0%)","1,025 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome","24,600 B (0%)","1,025 (0%)"
"io.undertow.servlet.api.MimeMapping","24,336 B (0%)","1,014 (0%)"
